let treemapcbp_text = 
`name,total_obligated_amount,country,address,county,city,state,zip4
NO MAGIC INCORPORATED,6200,USA,5700 TENNYSON PKWY STE 180,PLANO,COLLIN,TX,750247155
BELLINGHAM FORD LINCOLN INC,6121.91,USA,1820 JAMES ST,BELLINGHAM,WHATCOM,WA,982254623
VALVERDE ARBITRATION SERVICES INC,6072.98,USA,2600 TRENT TRL,FORT WORTH,TARRANT,TX,761187703
MARK J KEPPLER,6000,USA,538 W BEDFORD AVE,CLOVIS,FRESNO,CA,936116741
SHIEBER BENJAMIN M,6000,USA,338 STANFORD AVE,BATON ROUGE,EAST BATON ROUGE,LA,708084667
ALITHOS ANESTI LLC,5974,USA,15142 GRAND AVE,LAKE ELSINORE,RIVERSIDE,CA,925305438
NJ CUSTOM OUTFITTERS LLP,5967,USA,14 ILENE CT STE 10,HILLSBOROUGH,SOMERSET,NJ,88441923
RUSS MILNE FORD INC,5831.73,USA,24777 HALL RD,MACOMB,MACOMB,MI,480425520
MTZ SHOP,5780,USA,901 S IMPERIAL AVE,CALEXICO,IMPERIAL,CA,922313124
GUADALUPE RODRIGUEZ,5769.43,USA,2406 E EXPRESSWAY 83,WESLACO,HIDALGO,TX,785965511
RUBINETT LYNN,5750,USA,802 HIGHLAND AVE,AUSTIN,TRAVIS,TX,78703
EMERGENCY VEHICLE SPECIALTIES (E.V.S.) INC.,5715,USA,12366 PENN ST,WHITTIER,LOS ANGELES,CA,906021103
LEHIGH NORTHAMPTON AIRPORT AUTHORITY,5469.42,USA,3311 AIRPORT RD,ALLENTOWN,LEHIGH,PA,181093074
ANTONIO Q GARCIA,5287,USA,3407 BURTON DR,BROWNSVILLE,CAMERON,TX,785213948
"T.H. AUTO, INC",5087.8,USA,410 20TH AVE,TWO HARBORS,LAKE,MN,556161364
EL TORO EXTERMINATOR OF FLORIDA INC,5060,USA,1460 NW 107TH AVE #1,MIAMI,MIAMI-DADE,FL,331722733
"CMS WIRELESS, LLC",5040,USA,29 MAUMELLE CURVE CT,NORTH LITTLE ROCK,PULASKI,AR,721136698
KCMW LLC,5032.06,USA,6616 35TH AVE NE,TULALIP,SNOHOMISH,WA,982717422
CUMMINS INC.,4997,USA,7401 CHURCH RANCH BLVD STE 206,WESTMINSTER,JEFFERSON,CO,800215576
"RFI ENTERPRISES, INC.",4992.69,USA,360 TURTLE CREEK CT,SAN JOSE,SANTA CLARA,CA,951251315
EDDIE W BANKSTON,4822.94,USA,1104 W UNIVERSITY AVE,LAFAYETTE,LAFAYETTE,LA,705063463
PEGGY A MCNEIVE LLC,4741.66,USA,10812 W 54TH ST,SHAWNEE,JOHNSON,KS,662031908
MASSENA ROD & GUN CLUB INC,4690,USA,155 PATTERSON RD,MASSENA,ST. LAWRENCE,NY,13662
COURTESY CHEVROLET,4638.57,USA,1233 E CAMELBACK RD,PHOENIX,MARICOPA,AZ,850143310
GREENLIGHT GROUP LLC,4588.5,USA,15000 EMERALD COAST PKWY,DESTIN,OKALOOSA,FL,325413338
JUAN R REAL,4325.4,USA,902 S 2ND ST,EL CENTRO,IMPERIAL,CA,922433468
"J. DAVID RENFRO CONFLICT RESOLUTION SERVICES, LLC",4225.34,USA,3717 BLUE TRACE LANE,DALLAS,DALLAS,TX,752445408
"UNIQUE KUSTOMZ BODY SHOP, LLC",3950,USA,1283 S ENGLER AVE,YUMA,YUMA,AZ,853651802
INQEM LLC,3774,USA,"1 ALHAMBRA PLAZA, PH FLOOR",MIAMI,MIAMI-DADE,FL,33134
BILL CURRIE FORD INC,3770.93,USA,5815 N DALE MABRY HWY,TAMPA,HILLSBOROUGH,FL,336145697
ROBERT SIMMELKJAER,3500,USA,29 CHESTNUT ST,HAWORTH,BERGEN,NJ,76411905
MCGOVERN MHQ INC,3213.14,USA,401 ELM ST,MARLBOROUGH,MIDDLESEX,MA,17524566
"DON'S AUTO SERVICE, INC.",2871.74,USA,2506 US ROUTE 5,DERBY,ORLEANS,VT,58299683
REEVES THOMAS ZANE,2600,USA,1304 CAMINO ECUESTRE NW,ALBUQUERQUE,BERNALILLO,NM,871072613
ACR INK LLC,2030,USA,221 N KANSAS ST STE 505,EL PASO,EL PASO,TX,799011430
"CAPRISECCA, VICKY",1648.46,USA,7911 ARLINGTON AVE APT 33,RIVERSIDE,RIVERSIDE,CA,925030402
"COLUMBIA SOUTHERN EDUCATION GROUP, INC.",1595,USA,21982 UNIVERSITY LN,ORANGE BEACH,BALDWIN,AL,365619000
"CRESSTON CO, L.L.C. THE",1456.29,USA,147 OLD SOLOMONS ISLAND RD STE 302,ANNAPOLIS,ANNE ARUNDEL,MD,214013838
KENT HOMES LLC,1448.15,USA,331 CLORINDA,SAN ANTONIO,BEXAR,TX,782534438
`;
